name,platform,r-date,score,user score,developer,genre,players,critics,users
Gran Turismo 3: A-Spec,PlayStation2,2001-07-09,95,8.4,PolyphonyDigital,"Driving,Racing,GT / Street",,54,386
Halo 2,Xbox,2004-11-09,95,8.4,BungieSoftware,"Action,Shooter,First-Person,Sci-Fi",,91,1656
The Legend of Zelda: A Link to the Past,GameBoyAdvance,2002-12-03,95,9.0,Capcom,"Action Adventure,Fantasy",,30,524
The Legend of Zelda: Majora's Mask,Nintendo64,2000-10-25,95,9.2,Nintendo,"Action Adventure,Fantasy",,27,1198
The Last of Us,PlayStation3,2013-06-14,95,9.2,NaughtyDog,"Modern,Adventure,General,Action Adventure,General,Modern",,98,11982
The Legend of Zelda: Twilight Princess,Wii,2006-11-19,95,8.9,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",,73,2060
Madden NFL 2003,PlayStation2,2002-08-12,95,7.5,EASports,"Sports,Traditional,Football,Sim",,25,66
Tony Hawk's Pro Skater 2,GameBoyAdvance,2001-05-30,95,6.8,VicariousVisions,"Sports,Alternative,Skateboarding",,16,38
Persona 5 Royal,PlayStation4,2020-03-31,95,8.2,Atlus,"Role-Playing,Japanese-Style",,71,2593
The Last of Us Remastered,PlayStation4,2014-07-29,95,9.2,NaughtyDog,"Action Adventure,General,Modern",,70,14563
Portal 2,PC,2011-04-18,95,9.1,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,52,7482
Red Dead Redemption,Xbox360,2010-05-18,95,9.0,RockstarSanDiego,"Action,Action Adventure,Shooter,Historic,Historic,Open-World,Third-Person,Historic",,96,2847
Portal 2,Xbox360,2011-04-19,95,8.7,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2.0,66,1073
Metal Gear Solid V: The Phantom Pain,XboxOne,2015-09-01,95,7.4,"KojimaProductions,MobyDickStudio","Modern,Modern,Action Adventure,Open-World",,10,1173
Portal 2,PlayStation3,2011-04-19,95,8.5,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2.0,54,1030
World of Goo,Wii,2008-10-13,94,8.7,2DBoy,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",,21,378
