,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
genre,,,,,,,,,
"Action Adventure,Fantasy,Action,Platformer,2D",69.0,69.0,1,,7.0,7.0,0.0,,
"Action Adventure,Fantasy,Action,Platformer,Platformer,2D,2D",88.0,88.0,1,,8.4,8.4,0.0,,
"Action Adventure,Fantasy,Compilation,Miscellaneous,Compilation",73.0,73.0,1,,7.6,7.6,0.0,,
"Action Adventure,Fantasy,Fantasy",62.0,62.0,1,,,,0.0,,
"Action Adventure,Fantasy,Fantasy,Linear",85.25,86.0,12,7.337636478520115,8.441666666666666,8.55,0.0,,
"Action Adventure,Fantasy,Fantasy,Open-World",84.45454545454545,87.0,11,8.835877278048134,8.127272727272727,8.0,2.0,2.0,2.0
"Action Adventure,Fantasy,General",56.6,58.0,5,8.561541917201598,5.92,6.8,0.0,,
"Action Adventure,Fantasy,General,Fantasy",66.82278481012658,68.0,158,13.078167243061042,6.867515923566879,7.2,10.0,2.0,2.0
"Action Adventure,Fantasy,General,Fantasy,Linear",69.4,71.0,5,2.8809720581775875,6.44,6.2,0.0,,
"Action Adventure,Fantasy,General,Fantasy,Open-World",83.3,82.0,10,6.000925854492047,8.08,8.05,0.0,,
"Action Adventure,Fantasy,General,Fantasy,Sandbox",78.5,78.5,2,0.7071067811865476,7.7,7.7,0.0,,
"Action Adventure,Fantasy,Linear",67.66666666666667,69.0,3,3.2145502536643202,6.666666666666667,6.5,2.0,2.0,2.0
"Action Adventure,Fantasy,Open-World",71.0,71.0,1,,8.0,8.0,0.0,,
"Action Adventure,General",72.3125,73.0,352,10.470093755447612,6.7463126843657815,7.0,30.0,2.0,2.0
"Action Adventure,General,Action,Fighting,3D",62.0,61.0,5,4.636809247747853,5.279999999999999,4.9,6.0,2.0,2.0
"Action Adventure,General,Action,Platformer,2D",68.0,68.0,1,,7.1,7.1,0.0,,
"Action Adventure,General,Adventure,Visual Novel",73.0,73.0,1,,7.4,7.4,0.0,,
"Action Adventure,General,Fantasy",61.55555555555556,61.0,9,7.46845216746936,6.4,6.5,0.0,,
"Action Adventure,General,Fantasy,Open-World",70.0,70.0,1,,3.5,3.5,0.0,,
"Action Adventure,General,Fantasy,Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",75.0,75.0,1,,5.5,5.5,0.0,,
"Action Adventure,General,Historic",70.0,70.0,1,,5.4,5.4,0.0,,
"Action Adventure,General,Historic,Role-Playing,Action RPG",76.0,76.0,1,,8.0,8.0,0.0,,
"Action Adventure,General,Horror,Survival,Linear",49.0,49.0,1,,5.9,5.9,0.0,,
