,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
genre,,,,,,,,,
"Action,Miscellaneous,Shooter,Compilation,Light Gun",60.666666666666664,58.0,3,4.618802153517006,7.333333333333333,7.6,0.0,,
"Action,Miscellaneous,Shooter,Compilation,Shoot-'Em-Up,Horizontal",76.0,76.0,1,,7.7,7.7,0.0,,
"Action,Miscellaneous,Shooter,Shooter,Compilation,First-Person,Historic,Arcade",45.0,45.0,1,,6.6,6.6,0.0,,
"Action,Miscellaneous,Shooter,Shooter,Compilation,Shoot-'Em-Up,Scrolling,Scrolling,Vertical,Horizontal",76.0,76.0,1,,6.9,6.9,0.0,,
"Action,Miscellaneous,Shooter,Shooter,Compilation,Static,Static",55.0,55.0,2,0.0,5.8,5.8,0.0,,
"Action,Pinball",79.0,81.5,16,6.742897497861481,6.664285714285714,7.300000000000001,0.0,,
"Action,Platformer,2D",73.31379962192817,75.0,529,10.856319663404154,7.173084886128364,7.4,12.0,2.0,2.0
"Action,Platformer,2D,3D",70.25,72.5,4,5.560275772537426,6.733333333333333,7.2,0.0,,
"Action,Platformer,2D,Platformer,2D",70.0,70.0,1,,6.0,6.0,0.0,,
"Action,Platformer,2D,Platformer,2D,Action Adventure,Open-World",72.0,72.0,1,,6.4,6.4,0.0,,
"Action,Platformer,2D,Role-Playing,Action RPG",83.5,83.5,2,0.7071067811865476,8.15,8.15,0.0,,
"Action,Platformer,2D,Sci-Fi,3D,Platformer,2D,Action Adventure,General",72.0,72.0,1,,8.2,8.2,0.0,,
"Action,Platformer,3D",68.82758620689656,69.0,290,11.297698468857906,7.284732824427481,7.5,12.0,2.0,2.0
"Action,Platformer,3D,Action Adventure,Fantasy,General,Fantasy",75.0,75.0,1,,8.3,8.3,0.0,,
"Action,Platformer,3D,Miscellaneous,Compilation,Compilation",83.0,83.0,1,,8.4,8.4,0.0,,
"Action,Platformer,Beat-'Em-Up,2D",52.0,52.0,1,,5.6,5.6,0.0,,
"Action,Platformer,Beat-'Em-Up,2D,2D",62.0,62.0,1,,7.2,7.2,0.0,,
"Action,Platformer,Fighting,2D",61.0,61.0,1,,6.1,6.1,2.0,2.0,2.0
"Action,Platformer,General,2D",77.0,77.0,1,,7.1,7.1,0.0,,
"Action,Platformer,General,3D",73.0,73.0,1,,6.8,6.8,0.0,,
"Action,Platformer,General,Platformer,2D,2D",65.0,65.0,1,,7.1,7.1,0.0,,
"Action,Platformer,General,Platformer,3D,3D",62.5,62.5,2,13.435028842544403,7.15,7.15,0.0,,
"Action,Platformer,Platformer,2D,2D",75.11162790697675,77.0,215,11.023619698754555,7.422772277227724,7.7,8.0,2.0,2.0
"Action,Platformer,Platformer,2D,2D,3D",79.0,79.0,1,,7.9,7.9,2.0,2.0,2.0
"Action,Platformer,Platformer,2D,3D",66.0,66.0,1,,6.8,6.8,0.0,,
"Action,Platformer,Platformer,2D,3D,2D",76.0,76.0,2,14.142135623730951,7.5,7.5,0.0,,
"Action,Platformer,Platformer,2D,3D,2D,3D",62.5,62.5,2,0.7071067811865476,5.5,5.5,0.0,,
"Action,Platformer,Platformer,3D,2D",83.5,83.5,2,0.7071067811865476,7.6,7.6,0.0,,
"Action,Platformer,Platformer,3D,2D,3D",69.6923076923077,68.0,13,16.162634971772682,6.916666666666667,7.0,0.0,,
"Action,Platformer,Platformer,3D,3D",66.77304964539007,66.0,141,11.898000308771113,6.891729323308271,7.0,2.0,2.0,2.0
"Action,Platformer,Platformer,Arcade,2D,2D",51.0,51.0,1,,6.4,6.4,0.0,,
"Action,Platformer,Platformer,Shooter,2D,2D,Scrolling,Shoot-'Em-Up,Vertical",75.0,75.0,1,,7.3,7.3,0.0,,
"Action,Platformer,Platformer,Shooter,2D,2D,Shoot-'Em-Up,Horizontal",80.0,80.0,1,,7.6,7.6,0.0,,
"Action,Platformer,Rhythm,General,Platformer,2D,2D,Music",86.0,86.0,1,,8.7,8.7,0.0,,
"Action,Platformer,Shooter,2D,Light Gun",74.0,74.0,1,,6.1,6.1,0.0,,
"Action,Platformer,Shooter,2D,Scrolling,Shoot-'Em-Up,Vertical",80.33333333333333,80.0,3,0.5773502691896247,6.266666666666667,6.5,0.0,,
"Action,Platformer,Shooter,2D,Shoot-'Em-Up,Horizontal",78.0,78.0,1,,8.0,8.0,0.0,,
"Action,Platformer,Shooter,2D,Shoot-'Em-Up,Vertical",44.0,44.0,1,,5.4,5.4,0.0,,
"Action,Platformer,Shooter,Third-Person,2D,Arcade",72.0,72.0,1,,7.3,7.3,0.0,,
"Action,Puzzle",74.5,74.5,2,3.5355339059327378,6.6,6.6,0.0,,
"Action,Puzzle,General,General",64.0,64.0,1,,6.7,6.7,0.0,,
"Action,Puzzle,General,General,Arcade",65.0,65.0,1,,6.5,6.5,0.0,,
"Action,Puzzle,General,Hidden Object",53.0,53.0,1,,,,0.0,,
"Action,Puzzle,General,Matching",66.0,66.0,1,,6.0,6.0,0.0,,
"Action,Puzzle,General,Platformer,2D",70.5,70.5,2,6.363961030678928,6.85,6.85,0.0,,
"Action,Puzzle,General,Stacking",57.0,57.0,1,,,,0.0,,
"Action,Puzzle,Miscellaneous,Puzzle,Action",64.0,64.0,1,,6.7,6.7,0.0,,
"Action,Racing,General,Arcade,Automobile",60.5,60.5,2,4.949747468305833,6.7,6.7,0.0,,
"Action,Racing,General,Arcade,Futuristic",77.5,77.5,2,2.1213203435596424,6.9,6.9,0.0,,
"Action,Racing,General,Arcade,Other",81.0,81.0,1,,6.6,6.6,0.0,,
"Action,Racing,General,General,Arcade,Automobile",64.0,64.0,1,,6.9,6.9,0.0,,
"Action,Racing,General,General,Arcade,Futuristic",79.0,79.0,1,,7.3,7.3,0.0,,
"Action,Racing,General,General,Arcade,Other",75.0,78.0,3,8.888194417315589,7.166666666666667,7.4,0.0,,
"Action,Rhythm,Dancing",69.5,73.0,14,9.263244156756981,6.221428571428571,6.199999999999999,0.0,,
"Action,Rhythm,Music",76.50943396226415,79.0,53,7.571765980143276,7.115217391304348,7.4,2.0,2.0,2.0
"Action,Rhythm,Music,Action Adventure,Open-World",71.0,71.0,3,1.0,6.266666666666667,6.7,0.0,,
"Action,Rhythm,Platformer,2D,Music",78.0,78.0,1,,6.8,6.8,0.0,,
"Action,Rhythm,Shooter,Music,Shoot-'Em-Up,Horizontal",73.0,73.0,1,,6.4,6.4,0.0,,
"Action,Role-Playing,Action Adventure,Action RPG,General,Fantasy,Beat-'Em-Up,Japanese-Style,3D",63.0,63.0,1,,7.5,7.5,0.0,,
"Action,Role-Playing,Action Adventure,Beat-'Em-Up,Fantasy,General,Japanese-Style,Shooter,Third-Person,3D,Fantasy",59.0,59.0,1,,,,0.0,,
"Action,Role-Playing,Action Adventure,Fantasy,General,Fantasy,Beat-'Em-Up,Japanese-Style,3D",49.5,49.5,2,2.1213203435596424,5.75,5.75,0.0,,
"Action,Role-Playing,Action RPG,Beat-'Em-Up,2D",80.0,80.0,1,,8.0,8.0,0.0,,
"Action,Role-Playing,Action RPG,Beat-'Em-Up,Action RPG,Beat-'Em-Up,2D",77.0,77.0,1,,8.4,8.4,0.0,,
"Action,Role-Playing,Action RPG,Beat-'Em-Up,Beat-'Em-Up,2D",58.0,58.0,1,,6.8,6.8,0.0,,
"Action,Role-Playing,Action RPG,Platformer,Action RPG,3D",64.0,64.0,1,,5.4,5.4,0.0,,
"Action,Role-Playing,Action RPG,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",73.33333333333333,74.0,3,3.0550504633038913,7.566666666666666,7.5,0.0,,
"Action,Role-Playing,Adventure,Action RPG,Beat-'Em-Up,Action RPG,3D,First-Person,Fantasy",61.0,61.0,1,,7.4,7.4,0.0,,
"Action,Role-Playing,Beat-'Em-Up,Action RPG,Beat-'Em-Up,2D,3D",78.0,78.0,1,,7.7,7.7,0.0,,
"Action,Role-Playing,General",77.0,77.0,1,,8.7,8.7,0.0,,
"Action,Role-Playing,General,Action RPG",70.1875,72.5,16,12.27582312243596,7.13125,7.25,0.0,,
"Action,Role-Playing,General,Action RPG,Action RPG",73.2,75.0,5,12.23519513534623,7.7,7.9,0.0,,
"Action,Role-Playing,General,General",77.0,77.0,1,,8.1,8.1,0.0,,
"Action,Role-Playing,General,General,Action RPG",69.0,69.0,1,,7.4,7.4,0.0,,
"Action,Role-Playing,General,General,General",84.0,84.0,1,,8.5,8.5,0.0,,
"Action,Role-Playing,General,General,Massively Multiplayer",75.0,75.0,1,,6.9,6.9,0.0,,
"Action,Role-Playing,Platformer,Action RPG,2D",78.5,78.5,2,6.363961030678928,6.95,6.95,0.0,,
"Action,Role-Playing,Platformer,Action RPG,3D",64.0,64.0,2,1.4142135623730951,6.15,6.15,0.0,,
"Action,Role-Playing,Platformer,Platformer,Action RPG,2D,2D",87.0,87.0,4,2.309401076758505,8.475,8.5,0.0,,
"Action,Role-Playing,Platformer,Platformer,Action RPG,3D,3D",85.0,85.0,1,,8.1,8.1,0.0,,
"Action,Role-Playing,Shooter,Japanese-Style,First-Person,Sci-Fi",64.0,64.0,1,,6.1,6.1,0.0,,
"Action,Sci-Fi,Third-Person,Shooter,Action Adventure,Open-World",60.0,60.0,1,,4.2,4.2,0.0,,
"Action,Shooter,First-Person,Arcade",72.40106951871658,74.0,187,10.004009891225763,5.956521739130435,6.4,18.0,2.0,2.0
"Action,Shooter,First-Person,Fantasy",71.0,73.0,5,4.301162633521313,7.85,7.9,0.0,,
"Action,Shooter,First-Person,General,Fantasy,Arcade",68.0,68.0,2,4.242640687119285,3.95,3.95,0.0,,
"Action,Shooter,First-Person,Historic",71.33333333333333,73.0,36,12.943834715526043,7.236111111111111,7.6,0.0,,
"Action,Shooter,First-Person,Light Gun,Arcade",69.2,69.0,5,9.257429448826494,6.62,7.5,2.0,2.0,2.0
"Action,Shooter,First-Person,Modern",68.78571428571429,72.0,28,13.758114488755886,7.353571428571429,7.4,0.0,,
"Action,Shooter,First-Person,Modern,Action Adventure,Modern,General,Modern",81.0,81.0,1,,8.0,8.0,0.0,,
"Action,Shooter,First-Person,Modern,Arcade",75.2,79.0,10,9.295160030897797,6.05,5.949999999999999,0.0,,
"Action,Shooter,First-Person,Modern,Modern,Modern,Action Adventure,General",71.66666666666667,72.0,3,2.516611478423585,5.533333333333334,5.6,0.0,,
"Action,Shooter,First-Person,Sci-Fi",74.69135802469135,76.0,81,13.364731549219979,7.683116883116884,8.0,0.0,,
"Action,Shooter,First-Person,Sci-Fi,Arcade",72.33333333333333,74.5,12,8.824895913198514,5.925,6.4,0.0,,
"Action,Shooter,First-Person,Sci-Fi,Sci-Fi,Shooter,Arcade",69.0,69.0,1,,8.5,8.5,0.0,,
"Action,Shooter,First-Person,Tactical",75.51666666666667,77.0,60,8.172902035606187,5.394915254237288,5.6,0.0,,
"Action,Shooter,First-Person,Tactical,Arcade",63.4,69.0,5,11.991663771137015,6.25,6.199999999999999,0.0,,
"Action,Shooter,First-Person,Tactical,Historic",60.0,60.0,2,2.8284271247461903,8.399999999999999,8.399999999999999,0.0,,
"Action,Shooter,First-Person,Tactical,Modern",66.66666666666667,69.0,36,12.44645675340117,6.855555555555556,7.25,0.0,,
"Action,Shooter,General,First-Person,Modern",39.0,39.0,1,,3.1,3.1,0.0,,
"Action,Shooter,General,Shooter,First-Person,Fantasy,Fantasy,Arcade",50.0,50.0,1,,5.5,5.5,0.0,,
"Action,Shooter,General,Shooter,First-Person,Modern,Tactical",34.0,34.0,1,,3.0,3.0,0.0,,
"Action,Shooter,General,Shooter,First-Person,Rail,Arcade",46.0,46.0,1,,6.6,6.6,0.0,,
"Action,Shooter,General,Shooter,First-Person,Tactical,Historic",74.0,74.0,1,,7.8,7.8,0.0,,
"Action,Shooter,General,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Horizontal",47.0,47.0,1,,7.7,7.7,0.0,,
"Action,Shooter,General,Shooter,Scrolling,Shoot-'Em-Up,Horizontal",61.0,61.0,1,,7.3,7.3,0.0,,
"Action,Shooter,General,Shooter,Third-Person,Shoot-'Em-Up,Modern,Top-Down",56.0,56.0,1,,6.5,6.5,0.0,,
"Action,Shooter,General,Third-Person,Modern",48.0,48.0,1,,6.9,6.9,0.0,,
"Action,Shooter,Light Gun",66.16666666666667,67.0,30,12.196899926460489,6.446428571428571,6.8,2.0,2.0,2.0
"Action,Shooter,Light Gun,Rail",49.0,49.0,1,,6.0,6.0,0.0,,
"Action,Shooter,Platformer,Shooter,Scrolling,2D,Scrolling",73.0,73.0,1,,7.2,7.2,0.0,,
"Action,Shooter,Platformer,Shooter,Scrolling,2D,Scrolling,Shoot-'Em-Up,Horizontal",66.66666666666667,63.0,3,8.144527815247079,6.666666666666667,6.3,0.0,,
"Action,Shooter,Platformer,Shooter,Scrolling,2D,Scrolling,Shoot-'Em-Up,Vertical",76.0,76.0,1,,7.5,7.5,0.0,,
"Action,Shooter,Platformer,Shooter,Scrolling,2D,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",29.0,29.0,1,,3.7,3.7,0.0,,
"Action,Shooter,Platformer,Shooter,Third-Person,3D,Sci-Fi,Sci-Fi,Arcade",85.0,85.0,1,,8.1,8.1,0.0,,
"Action,Shooter,Rail",70.72413793103448,69.0,29,10.898546927143672,7.2299999999999995,7.35,0.0,,
"Action,Shooter,Rhythm,Shooter,Scrolling,Music,Scrolling",78.0,78.0,1,,7.0,7.0,0.0,,
"Action,Shooter,Sci-Fi,Third-Person,Sci-Fi,Shooter,Action Adventure,Open-World",70.0,70.0,1,,6.0,6.0,0.0,,
"Action,Shooter,Scrolling",70.97222222222223,72.5,36,12.424597978229917,7.846875,8.1,0.0,,
"Action,Shooter,Scrolling,Shoot-'Em-Up,Horizontal",86.0,86.0,1,,7.3,7.3,0.0,,
"Action,Shooter,Scrolling,Shoot-'Em-Up,Top-Down",75.0,75.0,1,,7.1,7.1,0.0,,
"Action,Shooter,Scrolling,Shoot-'Em-Up,Top-Down,Vertical",66.0,66.0,2,2.8284271247461903,6.85,6.85,0.0,,
"Action,Shooter,Scrolling,Shoot-'Em-Up,Vertical",77.66666666666667,81.0,3,6.658328118479394,7.5,7.5,0.0,,
"Action,Shooter,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",68.6,71.0,5,12.461942063739501,7.0,6.9,0.0,,
"Action,Shooter,Shoot-'Em-Up,Horizontal",75.60606060606061,79.0,33,8.373840941957997,7.171428571428572,7.2,0.0,,
"Action,Shooter,Shoot-'Em-Up,Top-Down",69.38666666666667,71.0,75,11.069672879433144,6.5200000000000005,6.8,4.0,2.0,2.0
"Action,Shooter,Shoot-'Em-Up,Top-Down,Vertical",69.0,71.0,3,5.291502622129181,6.75,6.75,0.0,,
"Action,Shooter,Shoot-'Em-Up,Vertical",69.48275862068965,72.0,29,11.633144427070604,6.805263157894737,6.8,6.0,2.0,2.0
"Action,Shooter,Shooter,First-Person,Fantasy,Arcade",61.666666666666664,71.0,3,20.647840887931437,6.366666666666667,7.3,0.0,,
"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy",53.0,53.0,1,,6.8,6.8,0.0,,
"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",62.096774193548384,65.0,31,12.760237298497962,7.12,7.15,0.0,,
"Action,Shooter,Shooter,First-Person,Fantasy,General,Fantasy,Arcade",76.0,75.0,3,2.6457513110645907,5.433333333333334,6.2,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Arcade",55.0,61.0,5,22.360679774997894,6.16,6.0,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Historic",39.0,39.0,1,,6.6,6.6,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",72.13698630136986,75.0,73,14.326854222144766,7.02054794520548,7.3,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Historic,Modern,Arcade",54.0,54.0,2,1.4142135623730951,5.4,5.4,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Modern,Arcade",73.8,74.0,5,4.764451699828639,5.279999999999999,5.1,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Modern,Historic,Modern,Arcade",55.0,55.0,1,,5.9,5.9,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Modern,Modern,Arcade",61.8,51.0,5,19.473058311420935,5.04,5.3,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Tactical,Historic",79.0,79.0,1,,9.1,9.1,0.0,,
"Action,Shooter,Shooter,First-Person,Historic,Tactical,Historic,Arcade",80.0,80.0,1,,9.0,9.0,0.0,,
"Action,Shooter,Shooter,First-Person,Light Gun,Light Gun,Modern",43.0,43.0,1,,,,0.0,,
"Action,Shooter,Shooter,First-Person,Modern,Arcade",75.25,74.0,4,8.616843969807045,5.9,6.5,0.0,,
"Action,Shooter,Shooter,First-Person,Modern,Historic,Arcade",78.0,78.0,1,,6.6,6.6,0.0,,
"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",71.04347826086956,73.0,115,15.070821875601277,6.422608695652174,6.6,0.0,,
"Action,Shooter,Shooter,First-Person,Modern,Sci-Fi,Arcade",72.0,72.0,1,,7.7,7.7,0.0,,
"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern",83.33333333333333,81.5,6,5.573747990954265,7.833333333333333,7.4,0.0,,
"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern,Arcade",74.75,78.5,16,14.368948001390594,6.6,7.199999999999999,0.0,,
"Action,Shooter,Shooter,First-Person,Rail,Modern,Modern,Arcade",55.0,55.0,1,,6.1,6.1,0.0,,
"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade",63.25,64.0,12,20.950699706258455,6.633333333333333,7.300000000000001,0.0,,
"Action,Shooter,Shooter,First-Person,Sci-Fi,Fantasy,Arcade",67.0,67.0,1,,7.5,7.5,0.0,,
"Action,Shooter,Shooter,First-Person,Sci-Fi,Modern,Sci-Fi,Arcade",85.33333333333333,86.0,3,2.081665999466131,7.333333333333333,7.8,0.0,,
"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi",49.0,49.0,2,11.313708498984761,4.6,4.6,0.0,,
"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",73.97272727272727,76.0,220,13.725927265070698,7.311415525114155,7.6,6.0,2.0,2.0
"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Tactical",81.75,82.0,4,8.381527307120102,8.15,8.3,0.0,,
"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Tactical,Arcade",74.0,78.0,3,8.717797887081348,7.2,7.0,0.0,,
"Action,Shooter,Shooter,First-Person,Scrolling,Shoot-'Em-Up,Sci-Fi,Horizontal",41.0,41.0,1,,7.0,7.0,0.0,,
"Action,Shooter,Shooter,First-Person,Tactical,Arcade,Modern,Modern",28.0,28.0,3,1.0,3.0666666666666664,3.0,0.0,,
"Action,Shooter,Shooter,First-Person,Tactical,Historic,Arcade,Historic",78.0,78.0,1,,5.0,5.0,0.0,,
"Action,Shooter,Shooter,First-Person,Tactical,Historic,Historic",58.0,59.5,8,16.327015298927986,6.5125,6.85,0.0,,
"Action,Shooter,Shooter,First-Person,Tactical,Modern",71.5,74.5,6,12.177848742696717,6.816666666666666,7.25,0.0,,
"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",72.16666666666667,76.5,48,12.58052079788829,6.98125,7.25,0.0,,
"Action,Shooter,Shooter,First-Person,Third-Person,Historic,Historic,Historic,Arcade",35.0,35.0,3,5.0,5.266666666666667,5.3,0.0,,
"Action,Shooter,Shooter,First-Person,Third-Person,Historic,Tactical,Historic,Arcade",82.0,82.5,4,8.602325267042625,8.025,8.0,0.0,,
"Action,Shooter,Shooter,First-Person,Third-Person,Modern,Modern,Modern,Arcade",67.5,67.5,2,19.091883092036785,7.0,7.0,0.0,,
"Action,Shooter,Shooter,First-Person,Third-Person,Sci-Fi,Sci-Fi,Sci-Fi,Arcade",66.5,66.5,2,7.7781745930520225,7.449999999999999,7.449999999999999,0.0,,
"Action,Shooter,Shooter,First-Person,Third-Person,Sci-Fi,Sci-Fi,Tactical,Arcade",67.0,67.0,2,1.4142135623730951,6.65,6.65,0.0,,
"Action,Shooter,Shooter,First-Person,Third-Person,Tactical,Historic,Historic",61.0,61.0,1,,6.2,6.2,0.0,,
"Action,Shooter,Shooter,First-Person,Third-Person,Tactical,Modern,Modern",67.33333333333333,72.0,3,19.425069712444618,6.8999999999999995,7.1,0.0,,
"Action,Shooter,Shooter,Light Gun,Light Gun",66.25,67.5,12,11.655080827300557,6.675,7.35,0.0,,
"Action,Shooter,Shooter,Rail,Light Gun",64.0,64.0,1,,7.2,7.2,0.0,,
"Action,Shooter,Shooter,Rail,Light Gun,Rail",75.0,75.0,2,0.0,7.699999999999999,7.699999999999999,0.0,,
"Action,Shooter,Shooter,Rail,Rail",64.0,68.0,5,23.0,7.44,7.7,0.0,,
"Action,Shooter,Shooter,Scrolling,Scrolling",64.0,64.0,2,19.79898987322333,7.7,7.7,0.0,,
"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Horizontal",73.28571428571429,76.0,7,7.454624643228432,7.628571428571428,7.7,0.0,,
"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Top-Down",69.83333333333333,72.5,6,7.139094246938238,7.2,7.45,0.0,,
"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Top-Down,Vertical",63.0,63.0,1,,,,0.0,,
"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",67.94,69.0,50,10.587651644578171,7.1225,7.4,0.0,,
"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",73.27272727272727,77.0,11,11.270234328450401,7.43,7.5,0.0,,
"Action,Shooter,Shooter,Static,Shoot-'Em-Up,Top-Down",64.0,64.0,1,,7.6,7.6,0.0,,
"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",71.03571428571429,69.5,28,9.942360338497542,7.4125000000000005,7.5,2.0,2.0,2.0
"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down,Vertical",78.0,78.0,1,,8.2,8.2,0.0,,
"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Vertical",74.4,77.0,10,10.647900158142816,7.3,7.4,0.0,,
"Action,Shooter,Shooter,Static,Third-Person,Static,Shoot-'Em-Up,Sci-Fi,Top-Down",79.0,79.0,1,,7.9,7.9,0.0,,
"Action,Shooter,Shooter,Third-Person,Fantasy,Arcade",78.0,78.0,1,,7.5,7.5,0.0,,
"Action,Shooter,Shooter,Third-Person,Fantasy,Fantasy,Arcade",52.578947368421055,49.0,19,13.384550751908307,5.911111111111111,5.949999999999999,0.0,,
"Action,Shooter,Shooter,Third-Person,First-Person,Sci-Fi,Sci-Fi,Sci-Fi,Modern,Arcade",44.0,44.0,1,,1.9,1.9,0.0,,
"Action,Shooter,Shooter,Third-Person,First-Person,Sci-Fi,Sci-Fi,Tactical,Sci-Fi,Arcade",69.0,69.0,1,,6.8,6.8,0.0,,
"Action,Shooter,Shooter,Third-Person,Historic,Historic",54.0,54.0,1,,,,0.0,,
"Action,Shooter,Shooter,Third-Person,Historic,Historic,Arcade",59.25,59.5,4,8.220908303425684,6.775,7.5,0.0,,
"Action,Shooter,Shooter,Third-Person,Modern,Arcade",39.0,39.0,1,,3.8,3.8,0.0,,
"Action,Shooter,Shooter,Third-Person,Modern,Historic,Historic,Arcade",70.0,70.0,1,,8.2,8.2,0.0,,
"Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade",66.92727272727272,67.0,55,11.956486764830867,6.874545454545455,7.0,10.0,2.0,2.0
"Action,Shooter,Shooter,Third-Person,Rail,Rail,Fantasy",82.5,82.5,2,2.1213203435596424,7.9,7.9,0.0,,
"Action,Shooter,Shooter,Third-Person,Sci-Fi,Arcade",73.66666666666667,74.0,3,7.505553499465137,7.5,7.5,0.0,,
"Action,Shooter,Shooter,Third-Person,Sci-Fi,Modern,Arcade",43.0,43.0,1,,1.4,1.4,0.0,,
"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi",62.0,62.0,1,,,,0.0,,
"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",68.82022471910112,68.0,89,13.937002577958367,6.9818181818181815,7.1,2.0,2.0,2.0
"Action,Shooter,Shooter,Third-Person,Scrolling,Sci-Fi,Arcade",58.0,58.0,1,,,,0.0,,
"Action,Shooter,Shooter,Third-Person,Scrolling,Shoot-'Em-Up,Modern,Vertical",55.0,55.0,1,,5.2,5.2,0.0,,
"Action,Shooter,Shooter,Third-Person,Shoot-'Em-Up,Modern,Modern,Top-Down",75.0,75.0,1,,6.6,6.6,0.0,,
"Action,Shooter,Shooter,Third-Person,Shoot-'Em-Up,Sci-Fi,Sci-Fi,Top-Down",59.0,59.0,3,19.0,7.3,7.3,0.0,,
"Action,Shooter,Shooter,Third-Person,Shoot-'Em-Up,Tactical,Top-Down,Modern,Modern",61.0,61.0,1,,8.2,8.2,0.0,,
"Action,Shooter,Shooter,Third-Person,Tactical,Historic,Historic",64.83333333333333,65.5,6,7.8591772258084776,7.116666666666667,7.25,0.0,,
"Action,Shooter,Shooter,Third-Person,Tactical,Modern",60.0,60.0,2,24.041630560342615,6.25,6.25,0.0,,
"Action,Shooter,Shooter,Third-Person,Tactical,Modern,Modern",69.75,71.5,20,12.095562474682499,6.7299999999999995,7.35,2.0,2.0,2.0
"Action,Shooter,Static,Shoot-'Em-Up,Top-Down",77.83333333333333,80.5,6,8.886319072972045,7.333333333333333,7.4,0.0,,
"Action,Shooter,Third-Person,Arcade",69.31481481481481,71.5,54,11.416347223491556,6.740384615384615,6.8,0.0,,
"Action,Shooter,Third-Person,Fantasy",62.5,64.0,32,11.97039358503492,7.314814814814815,7.9,0.0,,
"Action,Shooter,Third-Person,Historic",63.44444444444444,58.0,9,9.501461875826152,7.6125,7.6,0.0,,
"Action,Shooter,Third-Person,Historic,Action Adventure,Historic,Historic,Open-World",95.0,95.0,1,,8.9,8.9,0.0,,
"Action,Shooter,Third-Person,Modern",64.36585365853658,71.0,41,16.72685878693453,7.331578947368421,8.2,0.0,,
"Action,Shooter,Third-Person,Modern,Arcade",64.0,64.0,2,7.0710678118654755,6.6,6.6,0.0,,
"Action,Shooter,Third-Person,Sci-Fi",65.90322580645162,67.0,62,12.384164501781777,7.60377358490566,7.7,0.0,,
"Action,Shooter,Third-Person,Sci-Fi,Arcade",56.0,56.0,1,,6.0,6.0,0.0,,
"Action,Shooter,Third-Person,Shoot-'Em-Up,Arcade,Top-Down",83.0,83.0,1,,6.9,6.9,0.0,,
"Action,Shooter,Third-Person,Shoot-'Em-Up,Modern,Top-Down",71.0,71.0,2,4.242640687119285,7.449999999999999,7.449999999999999,0.0,,
"Action,Shooter,Third-Person,Tactical",68.73684210526316,74.0,19,13.584476865006861,4.468421052631579,5.0,0.0,,
"Action,Shooter,Third-Person,Tactical,Arcade",66.5,66.5,2,3.5355339059327378,6.45,6.45,0.0,,
"Action,Shooter,Third-Person,Tactical,Historic",76.5,76.5,2,0.7071067811865476,8.0,8.0,0.0,,
"Action,Shooter,Third-Person,Tactical,Modern",69.05,70.5,20,12.171904664344629,7.62,8.05,0.0,,
"Action,Simulation,Arcade,Vehicle,Combat",70.5,70.5,2,6.363961030678928,7.2,7.2,0.0,,
"Action,Simulation,Arcade,Virtual,Career",79.66666666666667,80.0,3,1.5275252316519485,7.566666666666667,7.9,0.0,,
"Action,Simulation,Fighting,Vehicle,3D,Combat",68.0,68.0,1,,6.4,6.4,0.0,,
"Action,Simulation,Flight,Combat",55.0,67.0,3,21.656407827707714,4.566666666666666,5.6,0.0,,
